name;price;shipping
Pc Computador Cpu Intel Core I7 + Ssd 240gb, 8gb Memória Ram;2240.0;Free
Notebook Barato Multilaser 14 Hd 32gb Fino Prático Leve;1650.0;Free
Pc Gamer Computador Completo Ryzen 5 16gb Ssd 480gb Nfe Wifi;5080.0;Free
Pc Gamer Completo I5 16gb 1tb Monitor + Kit Gamer Full Hd;4119.0;Free
Cpu Gamer I5, 16gb, Sdd 240gb, Placa De Vídeo Gtx750ti  Wifi;2795.0;Free
Disco sólido interno Crucial CT240BX500SSD1 240GB preto;242.0;Free
Computador Completo I5 3º G 8gb Hd Ssd 240gb Monitor Hdmi;2589.0;Free
 Cpu Pc  Torre Core I5 3.20ghz 8gb Ssd 120gb ;1625.0;Free
Notebook Multilaser Legacy Book Pc310 14  Intel Pentium W10;1999.0;Free
Cpu Da Pdv Elgin Newera E3 Nano Celeron  Ssd 120 Hd;1218.0;Free
Cpu Dell Optiplex Core 2 Duo 8gb Hd 250gb Computador Pc;799.0;Free
Pc Desktop Intel I3-550 - 3.2 Ghz, 4gb, 500gb, Hdmi;1099.0;Free
Disco rígido externo Seagate Expansion STEA2000400 2TB preto;44999.0;Free
Cpu Gamer I5, 8gb, Sdd 240gb, Placa De Vídeo Gtx750ti  Wifi;2515.0;Free
Pc Computador Cpu Intel Core I5 + Ssd 240gb, 8gb Memória Ram;1583.0;Free
Notebook Multilaser Touch Quad Core 4gb 64gb Tela 11.6 Win10;2230.0;Free
Pc Gamer Cpu Computador I5 8gb, Ssd 240gb, Placa Vídeo 4gb;2350.0;Free
Pc Computador Cpu Intel Core I5 + Ssd 240gb, 8gb Memória Ram;152999.0;Free
Computador Completo Fácil Intel I3 04 Gb Ddr3 Ssd 240gb;2169.0;Free
Teclado gamer K-Mex KM-5228 QWERTY português Brasil cor preto com luz RGB;5494.0;Paid
Pc Gamer Barato Completo Intel I5 8gb Hd 500gb Monitor 21 ;3129.0;Free
